Town,DischargeVolume,DischargeCount
ABINGTON,0.0,0.0
ACTON,0.0,0.0
ACUSHNET,260.096495,215.0
ADAMS,0.0,0.0
AGAWAM,183.77233999999999,219.0
ALFORD,0.0,0.0
AMESBURY,0.0,0.0
AMHERST,0.0,0.0
ANDOVER,0.0,0.0
AQUINNAH,0.0,0.0
ARLINGTON,17.679000000000002,79.0
ASHBURNHAM,0.0,0.0
ASHBY,0.0,0.0
ASHFIELD,0.0,0.0
ASHLAND,0.0,0.0
ATHOL,0.0,0.0
ATTLEBORO,0.0,0.0
AUBURN,0.0,0.0
AVON,0.0,0.0
BARNSTABLE,0.0,0.0
BARRE,0.0,0.0
BECKET,0.0,0.0
BEDFORD,0.0,0.0
BELMONT,0.03,1.0
BERKLEY,0.0,0.0
BERLIN,0.0,0.0
BERNARDSTON,0.0,0.0
BEVERLY,0.0,0.0
BILLERICA,19.62,3.0
BLACKSTONE,0.0,0.0
BOLTON,0.0,0.0
BOSTON,2125.4775499999996,602.0
BOURNE,0.0,0.0
BOXBOROUGH,0.0,0.0
BOXFORD,0.0,0.0
BOYLSTON,0.0,0.0
BRAINTREE,0.0,0.0
BREWSTER,0.0,0.0
BRIDGEWATER,0.0,0.0
BRIMFIELD,0.0,0.0
BROCKTON,0.0,0.0
BROOKFIELD,0.0,0.0
BROOKLINE,27.8,4.0
BUCKLAND,0.0,0.0
BURLINGTON,0.0,0.0
CAMBRIDGE,351.46,107.0
CANTON,0.0,0.0
CARLISLE,0.0,0.0
CARVER,0.0,0.0
CHARLTON,0.0,0.0
CHATHAM,0.0,0.0
CHELMSFORD,6.54,1.0
CHELSEA,3.7555,52.0
CHESHIRE,0.0,0.0
CHICOPEE,798.5843610000001,1497.0
CHILMARK,0.0,0.0
CLARKSBURG,0.0,0.0
CLINTON,0.0,0.0
COLRAIN,0.0,0.0
CONCORD,0.0,0.0
CONWAY,0.0,0.0
CUMMINGTON,0.0,0.0
DALTON,0.0,0.0
DANVERS,0.0,0.0
DARTMOUTH,193.16823,252.0
DEDHAM,0.0,0.0
DEERFIELD,0.044972,10.0
DENNIS,0.0,0.0
DIGHTON,0.0,0.0
DOVER,0.0,0.0
DRACUT,1283.988,204.0
DUDLEY,0.0,0.0
DUNSTABLE,0.0,0.0
DUXBURY,0.0,0.0
EAST BRIDGEWATER,0.0,0.0
EAST LONGMEADOW,0.0,0.0
EASTHAM,0.0,0.0
EASTHAMPTON,5e-05,1.0
EASTON,0.0,0.0
