Year,PWSName,ContaminantGroup,RaworFinished,Result
1989,NATICK WATER AND SEWER DIVISION,VOC,F,18
1989,NATICK WATER AND SEWER DIVISION,VOC,R,8
1989,NEWBURYPORT WATER DEPARTMENT,VOC,F,2
1989,NORTH ANDOVER WATER DEPT,VOC,F,4
1989,NORTH ATTLEBORO WATER DEPT,VOC,F,19
1989,NORTH BROOKFIELD WATER DEPARTMENT,VOC,F,4
1989,NORTH RAYNHAM WATER DISTRICT,VOC,F,6
1989,NORTH READING WATER DEPT.,VOC,F,6
1989,NORTH READING WATER DEPT.,VOC,R,6
1989,NORTH SAGAMORE WATER DISTRICT,VOC,F,1
1989,NORTHAMPTON WATER DIVISION,VOC,F,1
1989,NORWELL WATER DEPARTMENT,VOC,F,13
1989,OAK BLUFFS WATER DISTRICT,VOC,F,3
1989,ORLEANS WATER DEPARTMENT,VOC,F,6
1989,PALMER WATER DISTRICT NO.1,VOC,F,5
1989,PAXTON WATER DEPARTMENT,VOC,F,7
1989,PEABODY WATER DEPT.,VOC,F,9
1989,PEABODY WATER DEPT.,VOC,R,18
1989,PEMBROKE WATER DIVISION DPW,VOC,F,3
1989,PITTSFIELD DPU WATER DEPT,VOC,F,20
1989,PLAINVILLE WATER DEPARTMENT,VOC,F,1
1989,PLYMOUTH WATER DEPARTMENT,VOC,F,5
1989,PLYMOUTH WATER DEPARTMENT,VOC,R,8
1989,PROVINCETOWN WATER DEPARTMENT,VOC,F,5
1989,RANDOLPH WATER DEPARTMENT,VOC,F,2
1989,RANDOLPH/HOLBROOK JOINT WATER BOARD,VOC,F,2
1989,RAYNHAM CENTER WATER DISTRICT,VOC,F,11
1989,READING WATER DEPARTMENT (MWRA),VOC,R,12
1989,ROCKPORT WATER DEPT,VOC,F,12
1989,ROCKPORT WATER DEPT,VOC,R,7
1989,ROWLEY WATER DEPARTMENT,VOC,F,1
1989,SALEM AND BEVERLY WATER SUPPLY BOARD,VOC,F,3
1989,SANDWICH WATER DISTRICT,VOC,F,12
1989,SCITUATE WATER DIVISION,VOC,F,9
1989,SEEKONK WATER DISTRICT,VOC,F,1
1989,SHARON WATER DEPT,VOC,F,15
1989,SHREWSBURY WATER DEPARTMENT,VOC,F,1
1989,SHREWSBURY WATER DEPARTMENT,VOC,R,4
1989,SOMERSET WATER DEPARTMENT,VOC,F,11
1989,SOMERVILLE LUMBER COMPANY,NITRAT,F,1
1989,SOUTH DEERFIELD WATER SUPPLY DISTRICT,VOC,F,2
1989,SOUTH GRAFTON WATER DISTRICT,VOC,F,3
1989,SOUTH HADLEY FD #1 (MWRA),VOC,F,2
1989,SOUTHBOROUGH DPW WATER DIVISION (MWRA),VOC,F,7
1989,SOUTHBRIDGE WATER DEPARTMENT,VOC,F,4
1989,SPENCER WATER DEPARTMENT,VOC,F,1
1989,SPRINGFIELD WATER AND SEWER COMMISSION,VOC,F,1
1989,STERLING WATER DEPARTMENT,VOC,F,1
1989,STURBRIDGE WATER DEPARTMENT,VOC,F,2
1989,SUDBURY WATER DISTRICT,VOC,F,7
1989,SWANSEA WATER DISTRICT,VOC,F,1
1989,TAUNTON WATER DIVISION,VOC,F,2
1989,TEWKSBURY WATER DEPARTMENT,VOC,F,24
1989,THREE RIVERS FIRE DISTRICT,VOC,F,2
1989,TISBURY WATER WORKS,VOC,F,2
1989,TOPSFIELD WATER DEPARTMENT,VOC,F,1
1989,TOWN OF AVON,VOC,F,21
1989,WAKEFIELD WATER DEPT,VOC,F,3
1989,WALPOLE WATER DEPT,VOC,F,39
1989,WALPOLE WATER DEPT,VOC,R,10
1989,WANNACOMET WATER COMPANY,VOC,F,2
1989,WARE WATER DEPT,VOC,F,1
1989,WEIR RIVER WATER SYSTEM,VOC,F,11
1989,WELLESLEY WATER DIVISION,VOC,F,45
1989,WELLFLEET ELEMENTARY SCHOOL,VOC,F,1
1989,WENHAM WATER DEPT.,VOC,F,1
1989,WEST BOYLSTON WATER DISTRICT,VOC,F,2
1989,WEST BRIDGEWATER WATER DEPT,VOC,F,1
1989,WESTFIELD DPWWATER DIVISION,VOC,F,6
1989,WESTOVER ARB,VOC,F,5
1989,WEYMOUTH WATER DEPARTMENT,VOC,F,9
1989,WEYMOUTH WATER DEPARTMENT,VOC,R,24
1989,WHEATLEIGH INN,VOC,F,1
1989,WHITINSVILLE WATER COMPANY,VOC,F,1
1989,WILBRAHAM WATER DEPT (MWRA),VOC,F,4
1989,WILLIAMSTOWN WATER DEPT,VOC,F,2
1989,WILMINGTON WATER DEPT,VOC,F,1
1989,WINCHESTER WATER DEPT,VOC,F,5
1989,"WORCESTER DPWP, WATER SUPPLY DIVISION",VOC,F,7
1989,YARMOUTH WATER DEPARTMENT,VOC,F,41
1990,155 SWANSON RD   SYNQOR,VOC,F,2
1990,159 SWANSON RD    SETRA SYSTEMS INC,NITRAT,F,2
1990,159 SWANSON RD    SETRA SYSTEMS INC,NITRIT,F,2
1990,159 SWANSON RD    SETRA SYSTEMS INC,VOC,F,4
1990,ABINGTON/ROCKLAND JOINT WTR. WORKS,RADIO,F,2
1990,ADAMS FIRE DISTRICT,VOC,F,1
1990,AMESBURY DPW  WATER DIV.,VOC,F,2
1990,AMHERST DPW  WATER DIVISION,VOC,F,2
1990,ANDOVER WATER DEPT,VOC,F,3
1990,AQUARION WATER COMPANY OXFORD,VOC,F,1
1990,ASHBURNHAM WATER DEPARTMENT,VOC,F,1
1990,ASHBY ELEMENTARY SCHOOL,VOC,F,1
1990,ATTLEBORO WATER DEPT,VOC,F,4
1990,AUBURN WATER DISTRICT,VOC,F,5
1990,BARNSTABLE FIRE DISTRICT,VOC,F,13
1990,BEDFORD WATER DEPT.,VOC,F,9
1990,BILLERICA WATER WORKS,VOC,F,3
1990,BOSE CORPORATION (688 GREAT ROAD),NITRAT,F,1
1990,BOURNE WATER DISTRICT,VOC,F,16
1990,BRAINTREE WATER AND SEWER DEPT.,THM,F,1
1990,BRAINTREE WATER AND SEWER DEPT.,VOC,F,8
1990,BREWSTER WATER DEPARTMENT,VOC,F,3
1990,BROCKTON WATER DEPARTMENT,VOC,F,2
1990,BURLINGTON WATER DEPT,VOC,F,9
1990,BYFIELD WATER DISTRICT,INORG,F,8
1990,BYFIELD WATER DISTRICT,NITRAT,F,1
1990,BYFIELD WATER DISTRICT,NITRIT,F,1
1990,CAMBRIDGE WATER DEPARTMENT,VOC,F,6
1990,CAMP GOOD NEWS,VOC,F,5
1990,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,VOC,F,10
1990,CHATHAM WATER DEPARTMENT,VOC,F,10
1990,CHELMSFORD WATER DISTRICT,VOC,F,10
1990,CITY OF NEW BEDFORD DPI,VOC,F,2
1990,CONCORD WATER DEPT,VOC,F,4
1990,COTUIT BAY CONDOMINIUMS,INORG,F,32
1990,COTUIT BAY CONDOMINIUMS,NITRAT,F,4
1990,COTUIT BAY CONDOMINIUMS,RADIO,F,1
1990,COTUIT FIRE DISTRICT  WATER DEPARTMENT,VOC,F,8
1990,DALTON FIRE DISTRICT,VOC,F,2
1990,DANVERS WATER DEPT.,VOC,F,8
1990,DARTMOUTH WATER DIVISION,VOC,F,4
1990,DEDHAM WESTWOOD WATER DIST.,VOC,F,19
1990,DENNIS WATER DISTRICT,VOC,F,27
1990,DEVENS  MASSDEVELOPMENT,VOC,F,10
1990,DOVER WATER DEPT,VOC,F,1
1990,DUCK FARM SPRINGS WATER CO.,VOC,F,2
1990,DUXBURY WATER DEPARTMENT,VOC,F,10
1990,EASTHAMPTON WATER DEPT,VOC,F,4
1990,EDGARTOWN WATER DEPARTMENT,VOC,F,12
1990,FAIRHAVEN WATER DEPT,VOC,F,5
1990,FALL RIVER WATER DEPARTMENT,VOC,F,3
1990,FALMOUTH WATER DEPT,VOC,F,15
1990,FOUR STAR CONNECTIONS/METRO WIRE,NITRAT,F,2
1990,FOUR STAR CONNECTIONS/METRO WIRE,NITRIT,F,2
1990,FOUR STAR CONNECTIONS/METRO WIRE,VOC,F,2
1990,FOXBORO WATER DEPARTMENT,VOC,F,3
1990,FRAMINGHAM WATER DEPT. (MWRA),VOC,F,1
1990,GLOUCESTER PUBLIC UTILITY DIVISION,INORG,F,8
1990,GLOUCESTER PUBLIC UTILITY DIVISION,VOC,F,2
1990,GRANVILLE VILLAGE SCHOOL,VOC,F,1
1990,HALIFAX WATER DEPARTMENT,VOC,F,1
1990,HANOVER WATER DEPT,VOC,F,5
1990,HANSCOM AFB,THM,F,1
1990,HANSON WATER DEPARTMENT,VOC,F,5
1990,HARWICH WATER DEPARTMENT,VOC,F,20
1990,HAVERHILL WATER DEPT,VOC,F,4
1990,HIGH WOOD WATER COMPANY,VOC,F,3
1990,"HOLDEN WATER DIVISION, DPW",VOC,F,10
1990,HOLYOKE WATER WORKS,VOC,F,3
1990,HUDSON WATER SUPPLY,VOC,F,7
1990,"HYANNIS WATER SYSTEM, TOWN OF BARNSTABLE",VOC,F,130
1990,IPSWICH DPU  WATER DEPT,VOC,F,10
1990,LAWRENCE WATER WORKS,VOC,F,6
1990,LEICESTER WATER SUPPLY DISTRICT,VOC,F,1
1990,LENOX DPW WATER DIVISION,VOC,F,1
1990,LEOMINSTER WATER DIVISION,VOC,F,7
1990,LINCOLN WATER DEPT,THM,F,3
1990,LOWELL REGIONAL WATER UTILITY,VOC,F,4
1990,LUDLOW WATER DEPT (SPRINGFIELD W&SC),VOC,F,4
1990,LYNN WATER AND SEWER COMM,THM,F,4
1990,LYNN WATER AND SEWER COMM,VOC,F,13
1990,MANCHESTER BY THE SEA DPW,VOC,F,5
1990,MANSFIELD WATER DIVISION,VOC,F,3
1990,MARION WATER DIVISION,VOC,F,1
1990,MARLBOROUGH DPW  WATER DIV. (MWRA),VOC,F,1
1990,MARSHFIELD WATER DEPARTMENT,VOC,F,17
1990,MARTHAS VINEYARD AIRPORT,VOC,F,1
1990,MATTAPOISETT WATER DEPARTMENT,VOC,F,1
1990,MEDFIELD WATER DEPT.,VOC,F,5
1990,MEDWAY WATER DEPARTMENT,VOC,F,3
1990,METHUEN WATER DEPT,VOC,F,9
1990,MIDDLEBOROUGH WATER SUPPLY,VOC,F,4
1990,MWRA,INORG,F,88
1990,MWRA,NITRAT,F,11
1990,NATICK WATER AND SEWER DIVISION,VOC,F,39
1990,NATICK WATER AND SEWER DIVISION,VOC,R,10
1990,NEWBURYPORT WATER DEPARTMENT,VOC,F,3
1990,NORTH ADAMS WATER DEPT,THM,F,3
1990,NORTH ADAMS WATER DEPT,VOC,F,2
1990,NORTH ANDOVER WATER DEPT,VOC,F,1
1990,NORTH ATTLEBORO WATER DEPT,VOC,F,33
1990,NORTH CHELMSFORD WATER DIST,VOC,F,12
1990,NORTH READING WATER DEPT.,VOC,F,6
1990,NORTH READING WATER DEPT.,VOC,R,3
1990,NORTH SAGAMORE WATER DISTRICT,VOC,F,1
1990,NORTHAMPTON WATER DIVISION,VOC,F,7
1990,NORTHBOROUGH WATER DEPARTMENT (MWRA),VOC,F,3
1990,NORWELL WATER DEPARTMENT,VOC,F,4
1990,OAK BLUFFS WATER DISTRICT,VOC,F,10
1990,ORANGE WATER DEPT,VOC,F,2
1990,ORLEANS WATER DEPARTMENT,VOC,F,6
1990,PALMER WATER DISTRICT NO.1,VOC,F,5
1990,PALMER WATER DISTRICT NO.1,VOC,R,2
1990,PAXTON WATER DEPARTMENT,VOC,F,2
1990,PEABODY WATER DEPT.,VOC,F,6
1990,PEABODY WATER DEPT.,VOC,R,11
1990,PEMBROKE WATER DIVISION DPW,VOC,F,7
1990,PITTSFIELD DPU WATER DEPT,VOC,F,7
1990,PLAINVILLE WATER DEPARTMENT,VOC,F,1
1990,PLYMOUTH WATER DEPARTMENT,VOC,R,7
1990,PROVINCETOWN WATER DEPARTMENT,VOC,F,7
1990,RANDOLPH WATER DEPARTMENT,INORG,F,8
1990,RANDOLPH WATER DEPARTMENT,NITRAT,F,1
1990,RANDOLPH WATER DEPARTMENT,NITRIT,F,1
1990,RAYNHAM CENTER WATER DISTRICT,VOC,F,6
1990,READING WATER DEPARTMENT (MWRA),INORG,F,8
1990,READING WATER DEPARTMENT (MWRA),NITRAT,F,1
1990,READING WATER DEPARTMENT (MWRA),NITRIT,F,1
1990,READING WATER DEPARTMENT (MWRA),VOC,R,15
1990,ROCKPORT WATER DEPT,VOC,F,7
1990,ROCKPORT WATER DEPT,VOC,R,1
1990,SALEM AND BEVERLY WATER SUPPLY BOARD,VOC,F,4
1990,SANDWICH WATER DISTRICT,VOC,F,13
1990,SCITUATE WATER DIVISION,VOC,F,6
1990,SHARON WATER DEPT,VOC,F,10
1990,SOMERSET WATER DEPARTMENT,VOC,F,3
1990,SOMERVILLE LUMBER COMPANY,NITRAT,F,3
1990,SOMERVILLE LUMBER COMPANY,NITRIT,F,1
1990,SOUTH HADLEY FD #1 (MWRA),VOC,F,2
1990,SOUTH SAGAMORE WATER DISTRICT,VOC,F,3
1990,SOUTHBOROUGH DPW WATER DIVISION (MWRA),VOC,F,1
1990,SOUTHBRIDGE WATER DEPARTMENT,VOC,F,1
1990,SPRINGFIELD WATER AND SEWER COMMISSION,VOC,F,2
1990,STERLING WATER DEPARTMENT,VOC,F,1
1990,SUDBURY WATER DISTRICT,VOC,F,1
1990,SWANSEA WATER DISTRICT,VOC,F,5
1990,TEWKSBURY HOSPITAL,VOC,F,3
1990,TEWKSBURY WATER DEPARTMENT,VOC,F,9
1990,TISBURY WATER WORKS,VOC,F,2
1990,TOWN OF AVON,VOC,F,4
1990,TOWN OF WEST TISBURY TOWN HALL,INORG,F,4
1990,TOWNSEND WATER DEPARTMENT,VOC,F,2
1990,TYNGSBORO BUSINESS PARK LOT 1,NITRAT,F,1
1990,US ARMY SOLDIER SYSTEMS COMMAND,VOC,R,3
1990,WAKEFIELD WATER DEPT,VOC,F,2
1990,WALPOLE WATER DEPT,VOC,F,21
1990,WALPOLE WATER DEPT,VOC,R,1
1990,WANNACOMET WATER COMPANY,VOC,F,1
1990,WARWICK CENTER SCHOOL,NITRAT,F,1
1990,WARWICK CENTER SCHOOL,NITRIT,F,1
1990,WEIR RIVER WATER SYSTEM,VOC,F,24
1990,WELLESLEY WATER DIVISION,VOC,F,84
1990,WEST BRIDGEWATER WATER DEPT,VOC,F,1
1990,WEST BROOKFIELD WATER DEPARTMENT,VOC,F,3
1990,WEST SPRINGFIELD DPW WATER DIVISION,VOC,F,2
1990,WEST TISBURY ELEMENTARY SCHOOL,VOC,F,1
1990,WESTBOROUGH WATER DEPARTMENT,VOC,F,1
1990,WESTFIELD DPWWATER DIVISION,VOC,F,2
1990,WESTOVER ARB,VOC,F,6
1990,WEYMOUTH WATER DEPARTMENT,VOC,F,13
1990,WEYMOUTH WATER DEPARTMENT,VOC,R,18
1990,WHITINSVILLE WATER COMPANY,VOC,F,6
1990,WILBRAHAM WATER DEPT (MWRA),VOC,F,8
1990,WILLIAMSTOWN WATER DEPT,THM,F,2
1990,WILLIAMSTOWN WATER DEPT,VOC,F,1
1990,WILMINGTON WATER DEPT,VOC,F,1
1990,WILMINGTON WATER DEPT,VOC,R,1
1990,WINCHESTER WATER DEPT,VOC,F,6
1990,WINSLOW SCHOOL,VOC,F,1
1990,WOBURN WATER DEPT.,VOC,F,1
1990,"WORCESTER DPWP, WATER SUPPLY DIVISION",VOC,F,2
1990,YARMOUTH WATER DEPARTMENT,VOC,F,44
1991,1300 MASS AVE,NITRAT,F,1
1991,1300 MASS AVE,VOC,F,1
1991,1414 MASS AVE BOXBOROUGH,VOC,F,2
1991,155 SWANSON RD   SYNQOR,VOC,F,3
1991,159 SWANSON RD    SETRA SYSTEMS INC,VOC,F,6
1991,1896 HOUSE BROOKSIDE,VOC,F,3
1991,85 SWANSON RD LLC,VOC,F,2
1991,ABINGTON/ROCKLAND JOINT WTR. WORKS,THM,F,4
1991,ADAMS FIRE DISTRICT,THM,F,1
1991,ADAMS FIRE DISTRICT,VOC,F,3
1991,ADMINISTRATION BLDG TOWN HALL ANNEX,VOC,F,1
1991,ALFORD SCHOOL,VOC,F,1
1991,ALICE A MACOMBER PRIMARY SCHOOL,VOC,F,1
1991,AMERICAN YOUTH HOSTEL,VOC,F,1
1991,AMESBURY DPW  WATER DIV.,THM,F,1
1991,AMHERST DPW  WATER DIVISION,THM,F,9
1991,AMHERST DPW  WATER DIVISION,VOC,F,2
1991,ANDOVER WATER DEPT,THM,F,1
1991,ANDOVER WATER DEPT,VOC,F,1
1991,"ANDREWS FARM WATER CO.,INC.",VOC,F,4
1991,AQUARION WATER COMPANY OXFORD,SOC,F,26
1991,AQUARION WATER COMPANY PONDS OF PLYMOUTH,VOC,F,1
1991,"AQUARION WATER COMPANY, MILLBURY",SOC,F,8
1991,ARLINGTON WATER DEPT. (MWRA),SOC,F,6
1991,ASHFIELD WATER DISTRICT,VOC,F,2
1991,ASHLEY FALLS SCHOOL,VOC,F,3
1991,ATTLEBORO WATER DEPT,THM,F,4
1991,BARNSTABLE FIRE DISTRICT,VOC,F,9
1991,BARRE WATER DEPARTMENT,VOC,F,2
1991,BEDFORD WATER DEPT.,VOC,F,1
1991,BEECHWOOD POINT CONDOS,VOC,F,1
1991,BELMONT WATER DEPT. (MWRA),SOC,F,6
1991,BERKSHIRE SCHOOL,VOC,F,3
1991,BILLERICA WATER WORKS,THM,F,1
1991,BLANDFORD WATER DEPT,VOC,F,5
1991,BOLTON OFFICE PARK  ALTA NASHOBA VALLEY,NITRAT,F,1
1991,BOLTON OFFICE PARK  ALTA NASHOBA VALLEY,VOC,F,1
1991,BONDSVILLE FIRE AND WATER DISTRICT,VOC,F,1
1991,BOSE CORPORATION (688 GREAT ROAD),NITRAT,F,1
1991,BOSTON WATER AND SEWER COMMISSION (MWRA),SOC,F,6
1991,BOURNE WATER DISTRICT,VOC,F,16
1991,BOXBOROUGH REGENCY,VOC,F,1
1991,BRAINTREE WATER AND SEWER DEPT.,THM,F,1
1991,BREWSTER WATER DEPARTMENT,VOC,F,3
1991,BRIGGSVILLE WATER DISTRICT,VOC,F,1
1991,BROCKTON WATER DEPARTMENT,THM,F,4
1991,BROCKTON WATER DEPARTMENT,VOC,F,3
1991,BURLINGTON WATER DEPT,VOC,F,12
1991,BUZZARDS BAY WATER DISTRICT,VOC,F,2
1991,CAMBRIDGE WATER DEPARTMENT,THM,F,4
1991,CAMBRIDGE WATER DEPARTMENT,VOC,F,3
1991,CAMP GOOD NEWS,VOC,F,2
1991,CAMP MAH KEE NAC,VOC,F,1
1991,CAPE COD CAMP CORPORATION,VOC,F,1
1991,CARLISLE PUBLIC SCHOOL,VOC,F,2
1991,CARVER POLICE DEPT,VOC,F,1
1991,CENTERVILLE OSTERVILLE MARSTONS MILLS WD,VOC,F,11
1991,CHARLTON HOUSING AUTHORITY,VOC,F,1
1991,CHATHAM WATER DEPARTMENT,VOC,F,7
1991,CHELMSFORD WATER DISTRICT,VOC,F,1
1991,CHESHIRE WATER DEPT,VOC,F,5
1991,CITY OF NEW BEDFORD DPI,THM,F,4
1991,CITY OF NEW BEDFORD DPI,VOC,F,2
1991,CLINTON WATER DEPT,THM,F,1
1991,COHASSET WATER DEPT,INORG,F,8
1991,CONCORD FOODS INC,VOC,F,2
1991,COTUIT FIRE DISTRICT  WATER DEPARTMENT,VOC,F,4
1991,CRYSTAL SPRINGS SCHOOL - INACT.,VOC,F,3
1991,DANVERS WATER DEPT.,THM,F,5
1991,DARTMOUTH WATER DIVISION,THM,F,4
1991,DARTMOUTH WATER DIVISION,VOC,F,3
1991,DEDHAM WESTWOOD WATER DIST.,VOC,F,1
1991,DENNIS WATER DISTRICT,VOC,F,30
1991,DEVENS  MASSDEVELOPMENT,THM,F,2
1991,DEVENS  MASSDEVELOPMENT,VOC,F,9
1991,DIGHTON WATER DISTRICT,VOC,F,1
1991,DUDLEY WATER DEPARTMENT,VOC,F,2
1991,DUXBURY WATER DEPARTMENT,VOC,F,1
1991,EAGLETON SCHOOL,VOC,F,5
