,entity_name,year,client_name,amount,purpose,entity_name_norm,client_name_norm
65,"Daniel J Foley, Jr.",2005,Massachusettts Association of Health Underwriters,2100.0,,DANIEL J FOLEY JR,MASSACHUSETTTS ASSOCIATION OF HEALTH UNDERWRITERS
66,Stephen A Perla,2005,Parents Alliance for Catholic Education,1902.0,,STEPHEN A PERLA,PARENTS ALLIANCE FOR CATHOLIC EDUCATION
67,Brian R Gilmore,2005,Associated Industries of Mass.,22000.0,,BRIAN R GILMORE,ASSOCIATED INDUSTRIES OF MASS
68,Linda Huebner,2005,"Humane Society of the United States, The",1755.24,,LINDA HUEBNER,HUMANE SOCIETY OF UNITED STATES
69,Paul J Moran,2005,American Insurance Association,4667.0,,PAUL J MORAN,AMERICAN INSURANCE ASSOCIATION
70,Ethel Victoria Knighton,2005,"Medco Health Solutions, Inc.",8074.0,,ETHEL VICTORIA KNIGHTON,MEDCO HEALTH SOLUTIONS
71,Mary Kaysen,2005,Purdue Pharma,25000.0,,MARY KAYSEN,PURDUE PHARMA
72,Carmelo Cinqueonce,2005,Mass. Pharmacists Association,15000.0,,CARMELO CINQUEONCE,MASS PHARMACISTS ASSOCIATION
73,Neil F Cronin,2005,Mass. Law Reform Institute,11528.8,,NEIL F CRONIN,MASS LAW REFORM INSTITUTE
74,Richard I. Marlin,2005,Mass. AFL-CIO,38650.0,,RICHARD I MARLIN,MASS AFL CIO
75,James P Redmond,2005,SEIU Local  888,22124.0,,JAMES P REDMOND,SEIU LOCAL 888
76,"Robert Kraus, Esq.",2005,"Carpionato Properties, Inc.",0.0,,ROBERT KRAUS ESQ,CARPIONATO PROPERTIES
77,"Robert Kraus, Esq.",2005,"Ourway Realty, LLC DBA Plainridge Racecourse",39000.0,,ROBERT KRAUS ESQ,OURWAY REALTY
78,Michael J Ferrante,2005,Massachusetts Oilheat Council,16200.0,,MICHAEL J FERRANTE,MASSACHUSETTS OILHEAT COUNCIL
79,Martin W Healy,2005,Mass. Bar Association,36465.59,,MARTIN W HEALY,MASS BAR ASSOCIATION
80,Mary Lou Maloney,2005,ARC Massachusetts,6515.0,,MARY LOU MALONEY,ARC MASSACHUSETTS
81,"Edward F Saunders, Jr.",2005,Mass. Catholic Conference,5650.0,,EDWARD F SAUNDERS JR,MASS CATHOLIC CONFERENCE
82,"Edward F Saunders, Jr.",2005,"Mass. Credit Union League, Inc.",2231.0,,EDWARD F SAUNDERS JR,MASS CREDIT UNION LEAGUE
