,cso_id,latitude,longitude,DischargeVolume,Year,permiteeClass,permiteeName,permiteeId,municipality,location,waterBody,waterBodyDescription,DischargeCount,GEOID
10,001,42.4146018,-70.94814749,1.80788,2024.0,CSO,LYNN WATER & SEWER COMMISSION,MA0100552,LYNN,Other,LYNN HARBOR,,4,250092011001
11,001,42.44064883,-71.4395086,0.0117,2023.0,Non-CSO,MAYNARD WASTEWATER TREATMENT FACILITY,MA0101001,MAYNARD,Other,ASSABET RIVER,,1,250173631043
12,001,42.53611828,-70.83637897,0.072,2023.0,Non-CSO,SOUTH ESSEX SEWERAGE DISTRICT,MA0100501,SALEM,Other,SALEM SOUND,,1,250092033022
13,001,42.56364132,-71.60911503,0.0002,2025.0,Non-CSO,AYER WASTEWATER TREATMENT FACILITY,MA0100013,AYER,Other,NASHUA RIVER,,1,250173882002
14,001,42.56902893,-70.67591277,0.89,2023.0,CSO,CITY OF GLOUCESTER,MA0100625,GLOUCESTER,Other,MASSACHUSETTS BAY,,1,250092213002
15,001,42.5801595,-72.57384895,0.213008,2022.0,CSO,TOWN OF MONTAGUE,MA0100137,MONTAGUE,Other,CONNECTICUT RIVER,,8,250110407022
16,001,42.59810299,-71.29091025,396.4304,2023.0,Non-CSO,BILLERICA WASTEWATER TREATMENT FACILITY,MA0101711,BILLERICA,Other,CONCORD RIVER,,6,250173165001
17,001,42.71780397,-71.1337055,57.7297,2024.0,CSO,GREATER LAWRENCE SANITARY DISTRICT,MA0100447,NORTH ANDOVER,Other,MERRIMACK RIVER,,18,250092532011
18,001A,42.20828588,-71.78218361,58.2,2023.0,Non-CSO,UPPER BLACKSTONE WATER POLLUTION ABATEMENT DISTRICT,MA0102369,MILLBURY,Other,BLACKSTONE RIVER,,3,250277371003
19,010,42.15132213,-72.62554394,127.373,2022.0,CSO,CITY OF CHICOPEE,MA0101508,CHICOPEE,Other,CONNECTICUT RIVER,,29,250138111023
20,035,42.64844804,-71.28746603,2451.37946,2022.0,CSO,LOWELL REGIONAL WASTEWATER UTILITY,MA0100633,LOWELL,Other,MERRIMACK RIVER,,150,250173102003
21,046,42.76111625,-71.05200234,51.7282,2025.0,CSO,CITY OF HAVERHILL,MA0101621,HAVERHILL,Other,MERRIMACK RIVER,,10,250092611013
22,063,42.54220834,-71.74614849,213.410568,2025.0,CSO,CITY OF FITCHBURG,MA0100986,FITCHBURG,Other,NORTH NASHUA RIVER,,81,250277096001
23,BOS003,42.357852,-71.027741,16.758,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,SW CORNER OF LOGAN NW OF 90,BOSTON INNER HARBOR,,45,250250512001
24,BOS004,42.364773,-71.02688,0.184,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,TOMAHAWK ST,BOSTON INNER HARBOR,,5,250250512001
25,BOS009,42.370315,-71.044129,1.30495,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF SUMMER & NEW ST,BOSTON INNER HARBOR,,34,250250503001
26,BOS010,42.373442,-71.042169,2.257,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,WEST OF BORDER ST ON EAST BANK BOS INNER HRBR,BOSTON INNER HARBOR,,9,250250503001
27,BOS012,42.377808,-71.042215,0.266,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,@310 BORDER ST,BOSTON INNER HARBOR,,4,250250503001
28,BOS013,42.384104,-71.039327,0.473,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NORTH OF NAY ST ON MCARDLE BRIDGE,BOSTON INNER HARBOR,,12,250250501012
29,BOS014,42.382697,-71.027134,0.06355,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,ON LINE BETWN 338 AND S70 E EAGLE ST,CHELSEA RIVER,,7,250250509013
30,BOS017,42.385473,-71.068804,0.77,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,BETWN SPRINGFIELD COLLEGE 465 MEDFORD RD,MYSTIC RIVER,,7,250250406001
31,BOS019,42.379965,-71.051018,2.5375,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NW OF TOBIN BRIDGE AND 16TH ST,LITTLE MYSTIC CHANNEL,,12,250250408013
32,BOS046,42.34164,-71.092694,6.4707,2024.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,@PUMP STNS NE OF MFA,MUDDY RIVER,,12,250259818001
33,BOS057,42.364031,-71.04933,7.2,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,EASTERN AVE,BOSTON INNER HARBOR,,4,250250305001
34,BOS060,42.359544,-71.048383,1.7542,2025.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,NE CORNER OF NE AQUARIUM PIER,BOSTON INNER HARBOR,,10,250259901010
35,BOS062,42.354452,-71.05101,5.996,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,SEAPORT BLVD JUST BEFORE INT W/93,FORT POINT CHANNEL,,18,250259901010
36,BOS064,42.351336,-71.052688,3.023,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,INT DORCHESTER AVE & SUMMER ST,FORT POINT CHANNEL,,13,250250704021
37,BOS065,42.348681,-71.054504,1.261,2022.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,WEST BANK OF FORT POINT CHANNEL,FORT POINT CHANNEL,,10,250250704021
38,BOS068,42.344948,-71.05948,0.373,2025.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,FORT POINT CHANNEL WEST BANK INT 90 AND 93,FORT POINT CHANNEL,,3,250250704021
39,BOS070,42.342865,-71.060996,175.0641,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,CORNER OF W 4TH ST AND FRONTAGE RD,FORT POINT CHANNEL,,77,250250704021
40,BOS073,42.347674,-71.053504,0.36,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,JUST NORTH OF PIKE ON EAST BANK OF FORT POINT CHANNEL,FORT POINT CHANNEL,,3,250250704021
41,BOS076,42.339617,-71.041995,0.811,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,OFF PAPPAS WAY,RESERVED CHANNEL,,7,250259812021
42,BOS078,42.338537,-71.039996,1.0265,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,170 FT NORTH OF INTER E 1ST ST & I ST,RESERVED CHANNEL,,8,250259812021
43,BOS079,42.341824,-71.035607,0.025,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,800 FT NORTH OF INTER POWER HOUSE ST & SUMMER ST,RESERVED CHANNEL,,1,250259812021
44,BOS080,42.341788,-71.025194,0.165,2023.0,CSO,BOSTON WATER & SEWER COMMISSION,MA0101192,BOSTON,NW CORNER OF MASSPORT CONWAY FACILITY OFF DAY BLVD,RESERVED CHANNEL,,4,250259812021
45,CAM001,42.401988,-71.135391,0.01,2023.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,BETW FOCH ST AND MURRAY HILL RD,ALEWIFE BROOK,,3,250173550002
46,CAM005,42.373565,-71.132759,3.71,2023.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,WEST BANK OF CHARLES JUST SE OF MT AUBURN HOSPITAL,CHARLES RIVER,,27,250173542002
47,CAM007,42.373242,-71.126874,1.38,2023.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,INT OF HAWTHORNE & MEMORIAL DR,CHARLES RIVER,,4,250173541002
48,CAM017,42.364649,-71.076257,2.8,2023.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,NEAR ROWLAND INSTITUTE,CHARLES RIVER BASIN,,5,250173521021
49,CAM401A,42.395655,-71.143988,41.986,2024.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,MBTA 97 CAMBRIDGE PARK DR,ALEWIFE BROOK,,66,250173561003
50,CAM401B,42.401033,-71.136154,1.965,2023.0,CSO,CITY OF CAMBRIDGE,MA0101974,CAMBRIDGE,INT MASS AVE & ALEWIFE BK,ALEWIFE BROOK,,13,250173550002
