Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
1480260,DEERFIELD,WATER SUPPLY/DRINKING WATER,5843,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Site Visit But Not Full Inspection,2002-05-01
1480261,PALMER,WATER SUPPLY/DRINKING WATER,377913,ASYLUM FITNESS,Site Visit But Not Full Inspection,2002-05-01
1480266,HANCOCK,WATER SUPPLY/DRINKING WATER,5861,SHAKER HEIGHTS ASSOCIATION,Site Visit But Not Full Inspection,2002-06-01
1480267,NEW MARLBOROUGH,WATER SUPPLY/DRINKING WATER,5889,SOUTHFIELD WATER COMPANY,Site Visit But Not Full Inspection,2002-06-01
1480268,NEW MARLBOROUGH,WATER SUPPLY/DRINKING WATER,5890,KOLBURNE SCHOOL,Site Visit But Not Full Inspection,2002-06-01
1480269,STOCKBRIDGE,WATER SUPPLY/DRINKING WATER,187943,HERON POND AT STOCKBRIDGE,Site Visit But Not Full Inspection,2002-06-01
1480270,CHARLTON,REGULATED ACTIVITY(S),362678,ANTIQUE DOCTOR,ReInspection,2002-10-29
1480273,GARDNER,REGULATED ACTIVITY(S),252387,WALMART 2155,ReInspection,2002-11-22
1480326,COLRAIN,WATER SUPPLY/DRINKING WATER,5837,COLRAIN FIRE DISTRICT #1,Site Visit But Not Full Inspection,2002-06-01
1480328,GOSHEN,WATER SUPPLY/DRINKING WATER,187709,SPRUCE CORNER RESTAURANT,Site Visit But Not Full Inspection,2002-06-01
1480329,NEW MARLBOROUGH,WATER SUPPLY/DRINKING WATER,5888,MILL RIVER WATER TAKERS ASSOCIATION,Site Visit But Not Full Inspection,2002-06-01
1480330,LANESBOROUGH,WATER SUPPLY/DRINKING WATER,265251,BERKSHIRE MALL LLC,Site Visit But Not Full Inspection,2002-06-01
1480331,LEE,WATER SUPPLY/DRINKING WATER,5874,HIGH LAWN FARM,Site Visit But Not Full Inspection,2002-07-01
1480332,PITTSFIELD,WATER SUPPLY/DRINKING WATER,5900,PITTSFIELD DPU WATER DEPT,Site Visit But Not Full Inspection,2002-07-01
1480333,WILLIAMSTOWN,WATER SUPPLY/DRINKING WATER,5933,WILLIAMSTOWN WATER DEPT,Site Visit But Not Full Inspection,2002-07-01
1480334,WILLIAMSTOWN,WATER SUPPLY/DRINKING WATER,5936,WAUBEEKA SPRINGS,Site Visit But Not Full Inspection,2002-07-01
1480335,GILL,WATER SUPPLY/DRINKING WATER,5849,NORTHFIELD MT HERMON SCHOOL,Site Visit But Not Full Inspection,2002-07-01
1480336,STOCKBRIDGE,WATER SUPPLY/DRINKING WATER,5914,STOCKBRIDGE WATER DEPT,Site Visit But Not Full Inspection,2002-07-01
1480337,NEW MARLBOROUGH,WATER SUPPLY/DRINKING WATER,5888,MILL RIVER WATER TAKERS ASSOCIATION,Site Visit But Not Full Inspection,2002-07-01
1480338,DEERFIELD,WATER SUPPLY/DRINKING WATER,5843,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Site Visit But Not Full Inspection,2002-07-01
1480340,HOLYOKE,WATER SUPPLY/DRINKING WATER,5868,HOLYOKE WATER WORKS,Site Visit But Not Full Inspection,2002-07-01
1480341,COLRAIN,WATER SUPPLY/DRINKING WATER,5837,COLRAIN FIRE DISTRICT #1,Site Visit But Not Full Inspection,2002-07-01
1480342,HANCOCK,WATER SUPPLY/DRINKING WATER,7009,HANCOCK SHAKER VILLAGE,Site Visit But Not Full Inspection,2002-08-01
1480343,WILLIAMSTOWN,WATER SUPPLY/DRINKING WATER,5935,SWEET WOOD RETIREMENT COMMUNITY,Site Visit But Not Full Inspection,2002-08-01
1480345,HINSDALE,WATER SUPPLY/DRINKING WATER,5865,HINSDALE WATER DEPT,Site Visit But Not Full Inspection,2002-08-01
1480346,LANESBOROUGH,WATER SUPPLY/DRINKING WATER,187313,LANESBOROUGH FIRE AND WATER DISTRICT,Site Visit But Not Full Inspection,2002-08-01
1480347,BELCHERTOWN,WATER SUPPLY/DRINKING WATER,373059,WASHINGTON ACRES,Site Visit But Not Full Inspection,2002-08-01
1480348,MONTEREY,WATER SUPPLY/DRINKING WATER,5884,MONTEREY WATER COMPANY,Site Visit But Not Full Inspection,2002-08-01
1480349,WHATELY,WATER SUPPLY/DRINKING WATER,7220,WHATELY WATER DEPARTMENT,Site Visit But Not Full Inspection,2002-08-01
