Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
1482383,LAKEVILLE,WATER SUPPLY/DRINKING WATER,6663,CLARK SHORES WATER CORPORATION,Site Visit But Not Full Inspection,2000-06-01
1482384,LAKEVILLE,WATER SUPPLY/DRINKING WATER,6663,CLARK SHORES WATER CORPORATION,Site Visit But Not Full Inspection,2000-06-01
1482385,TISBURY,WATER SUPPLY/DRINKING WATER,6275,TISBURY WATER WORKS,Site Visit But Not Full Inspection,2000-07-01
1482386,CARVER,WATER SUPPLY/DRINKING WATER,254392,SHOPS AT CARVER CROSSING,Site Visit But Not Full Inspection,2000-07-01
1482387,MATTAPOISETT,WATER SUPPLY/DRINKING WATER,6245,MATTAPOISETT WATER DEPARTMENT,Site Visit But Not Full Inspection,2000-07-01
1482388,CARVER,WATER SUPPLY/DRINKING WATER,7189,WATERVIEW PARK LLC,Site Visit But Not Full Inspection,2000-07-01
1482389,CARVER,WATER SUPPLY/DRINKING WATER,7189,WATERVIEW PARK LLC,Site Visit But Not Full Inspection,2000-08-01
1482390,ROCHESTER,WATER SUPPLY/DRINKING WATER,6740,OLD COLONY REG.VOC.TECH. HIGH SCH.,Site Visit But Not Full Inspection,2000-08-01
1482391,ACUSHNET,WATER SUPPLY/DRINKING WATER,6190,BROOKSIDE MOBILE HOME PARK,Site Visit But Not Full Inspection,2000-08-01
1482392,CARVER,WATER SUPPLY/DRINKING WATER,213111,MARQUIS BUILDING,Site Visit But Not Full Inspection,2000-08-01
1482393,CARVER,WATER SUPPLY/DRINKING WATER,6208,CRANBERRY VILLAGE RESIDENTS ASSOCIATION,Site Visit But Not Full Inspection,2000-08-01
1482395,CARVER,WATER SUPPLY/DRINKING WATER,6596,CARVER ELEMENTARY SCHOOL,Site Visit But Not Full Inspection,2000-09-01
1482396,CARVER,WATER SUPPLY/DRINKING WATER,6595,ELKA PROPERTIES LLC,Site Visit But Not Full Inspection,2000-09-01
1482397,LAKEVILLE,WATER SUPPLY/DRINKING WATER,229646,COUNTY LAKE PROPERTIES,Site Visit But Not Full Inspection,2000-10-01
