,entity_name,year,expense_type,date,payee,description,amount,entity_name_norm
67,Deborah E Banda,2005,operating,12/15/05,Mass General Court,"Postage, shipping, delivery",74.0,DEBORAH E BANDA
68,Deborah E Banda,2005,operating,,,Total operating expenses,268.6,DEBORAH E BANDA
69,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Park Realty Rent,27000.0,BRIAN S HICKEY
70,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Verizon and Nextel Utilities,4200.0,BRIAN S HICKEY
71,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,ADP Payroll Payroll Expenses,600.0,BRIAN S HICKEY
72,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Shanahan Associates Salary,7000.0,BRIAN S HICKEY
73,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Various Office Expenditures/Supplies,12000.0,BRIAN S HICKEY
74,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Northeast Business Trust Health,11400.0,BRIAN S HICKEY
75,Brian S. Hickey Associates,2005,additional,1/1/2005,6/30/2005,Kate Piccolo Secretarial,18000.0,BRIAN S HICKEY
76,Brian S. Hickey Associates,2005,additional,,,Total amount,80200.0,BRIAN S HICKEY
77,Capital Associates Inc.,2005,operating,1/1/05-6/30/05,Verizon Wireless,"Telephone, cell phone, handheld",400.0,CAPITAL
78,Capital Associates Inc.,2005,operating,1/1/05-6/30/05,Verizon,"Telephone, cell phone, handheld",360.0,CAPITAL
79,Capital Associates Inc.,2005,operating,,,Total operating expenses,760.0,CAPITAL
80,Capital Associates Inc.,2005,additional,1/1/05,6/30/05,"44 School St., LLC rent",1200.0,CAPITAL
81,Capital Associates Inc.,2005,additional,1/1/05,6/30/05,NStar electricity,90.0,CAPITAL
82,Capital Associates Inc.,2005,additional,1/1/05,6/30/05,Avaya telephone lease,60.0,CAPITAL
83,Capital Associates Inc.,2005,additional,,,Total amount,1350.0,CAPITAL
84,Quinn & Morris,2005,operating,1/1/05-6/30/05,US Postal Service,"Postage, shipping, delivery",1125.0,QUINN AND MORRIS
85,Quinn & Morris,2005,operating,1/1/05-6/30/05,Broadview Network,"Telephone, cell phone, handheld",2340.0,QUINN AND MORRIS
86,Quinn & Morris,2005,operating,1/1/05-6/30/05,Cingular,"Telephone, cell phone, handheld",1291.0,QUINN AND MORRIS
87,Quinn & Morris,2005,operating,1/1/05-6/30/05,UPS,"Postage, shipping, delivery",130.0,QUINN AND MORRIS
88,Quinn & Morris,2005,operating,,,Total operating expenses,4886.0,QUINN AND MORRIS
89,Quinn & Morris,2005,additional,1/1/05,6/30/05,Flatly Company Rent,32650.0,QUINN AND MORRIS
90,Quinn & Morris,2005,additional,1/1/05,6/30/05,NSTAR utilities,4200.0,QUINN AND MORRIS
91,Quinn & Morris,2005,additional,,,Total amount,36850.0,QUINN AND MORRIS
92,Deborah E Banda,2005,operating,5/6/05,Mass General Court members,"Postage, shipping, delivery",1158.0,DEBORAH E BANDA
93,Deborah E Banda,2005,operating,4/20/05,Mass.General Court members,"Postage, shipping, delivery",59.2,DEBORAH E BANDA
94,Deborah E Banda,2005,operating,4/20/2005,Mass.General Court members,Printing expenses,9.6,DEBORAH E BANDA
95,Deborah E Banda,2005,operating,,,Total operating expenses,1226.8,DEBORAH E BANDA
96,Dewey Square Group,2005,operating,7/1/2005-12/31/2005,Client- for copying/reproduction (apportioned),Printing expenses,200.0,DEWEY SQUARE GROUP
97,Dewey Square Group,2005,operating,7/1/2005-12/31/2005,Client- for communication purposes (apportioned),"Telephone, cell phone, handheld",800.0,DEWEY SQUARE GROUP
98,Dewey Square Group,2005,operating,7/1/2005-12/31/2005,Client- for delivery/courier services (apportioned),"Postage, shipping, delivery",180.0,DEWEY SQUARE GROUP
99,Dewey Square Group,2005,operating,,,Total operating expenses,1180.0,DEWEY SQUARE GROUP
